Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3607,118,0.00,0.00,0,5
3609,118,25.30,0.00,0,5
3611,118,25.30,0.00,0,6
3617,118,25.30,0.00,0,6
3619,118,25.30,0.00,0,6
3621,118,25.30,0.00,0,6
3623,118,25.30,0.00,0,6
3625,118,25.30,0.00,0,6
3627,118,25.30,0.00,0,6
3629,118,25.30,0.00,0,6
3631,118,25.30,0.00,0,6
3637,118,25.30,0.00,0,6
3639,118,25.30,0.00,0,6
3641,118,25.30,0.00,0,6
3643,118,25.30,0.00,0,6
3645,118,25.30,0.00,0,6
3647,118,25.30,0.00,0,6
3649,118,25.30,0.00,0,6
3651,118,25.30,0.00,0,6
3657,118,25.30,0.00,0,6
3659,118,25.30,0.00,0,6
3661,118,25.30,0.00,0,6
3663,118,25.30,0.00,0,6
3665,118,25.30,0.00,0,6
3667,118,25.30,0.00,0,6
3669,118,25.30,0.00,0,6
3671,118,25.30,0.00,0,6
3677,118,25.30,0.00,0,6
3679,118,25.30,0.00,0,6
3681,118,25.30,0.00,0,6
3683,118,25.30,0.00,0,6
3685,118,25.30,0.00,0,6
3687,118,25.30,0.00,0,6
3689,118,25.30,0.00,0,6
3691,118,25.30,0.00,0,6
3697,118,25.30,0.00,0,6
3699,118,25.30,0.00,0,6
3701,118,25.30,0.00,0,6
3703,118,25.30,0.00,0,5
3705,118,25.30,0.00,0,5
3707,118,25.30,0.00,0,5
3709,118,25.30,0.00,0,5
3711,118,25.30,0.00,0,5
3717,118,25.30,0.00,0,6
3719,118,25.30,0.00,0,6
3721,118,25.30,0.00,0,6
3723,118,25.30,0.00,0,6
3725,118,25.30,0.00,0,6
3727,118,25.30,0.00,0,6
3729,118,25.30,0.00,0,6
3731,118,25.30,0.00,0,6
3737,118,25.30,0.00,0,6
3739,118,25.30,0.00,0,6
3741,118,25.30,0.00,0,6
3743,118,25.30,0.00,0,6
3745,118,25.30,0.00,0,6
3747,118,25.30,0.00,0,6
3749,118,25.30,0.00,0,6
3751,118,25.30,0.00,0,6
3757,118,25.30,1.00,0,6
3759,118,25.30,1.50,900,6
3761,118,25.25,1.60,900,5
3763,118,25.25,1.80,1714,5
3765,118,25.28,1.90,1714,5
3767,118,25.28,1.90,1714,5
3769,118,25.28,2.40,1714,5
3771,118,25.25,2.30,1714,5
3777,118,25.29,2.50,2157,5
3779,118,25.29,2.40,2157,5
3781,118,25.28,2.60,2157,5
3783,118,25.28,2.50,2157,5
3785,118,25.28,2.50,2157,5
3787,118,25.28,2.40,2157,5
3789,118,25.28,2.40,2157,5
3791,118,25.28,2.40,2242,5
3797,118,25.29,2.40,2242,5
3799,118,25.29,2.40,2242,5
3801,118,25.28,2.40,2242,5
3803,118,25.28,2.50,2242,5
3804,118,25.28,2.30,2242,5
3806,118,25.28,2.30,2242,5
3808,118,25.28,2.40,2242,6
3810,118,25.28,2.30,2271,6
3812,118,25.29,2.30,2271,6
3815,118,25.29,2.40,2271,6
3816,118,25.28,2.40,2271,6
3818,118,25.28,2.40,2271,6
3819,118,25.28,2.40,2271,6
3821,118,25.28,2.30,2271,6
3822,118,25.28,2.30,2271,6
3824,118,25.28,2.30,2271,6
3826,118,25.28,2.30,2271,6
3828,118,25.29,2.40,2285,6
3830,118,25.28,2.40,2285,6
3837,118,25.28,2.30,2285,6
3839,118,25.28,2.30,2285,6
3841,118,25.29,2.30,2285,6
3843,118,25.29,2.30,2285,6
3845,118,25.28,2.30,2285,6
3847,118,25.28,2.30,2285,6
3849,118,25.28,2.20,2285,6
3851,118,25.28,2.30,2285,6
3857,118,25.28,2.30,2285,6
3859,118,25.29,2.30,2300,6
3861,118,25.29,2.20,2300,6
3863,118,25.28,2.20,2300,6
3865,118,25.28,2.20,2300,6
3867,118,25.29,2.20,2300,6
3869,118,25.29,2.30,2300,6
3871,118,25.29,2.20,2300,6
3877,118,25.29,2.20,2300,6
3879,118,25.28,2.20,2300,6
3881,118,25.28,2.30,2300,6
3883,118,25.28,2.20,2300,6
3885,118,25.29,2.20,2300,6
3887,118,25.29,2.20,2314,6
3889,118,25.28,2.20,2314,6
3891,118,25.28,2.20,2314,6
3897,118,25.29,2.10,2314,6
3899,118,25.29,2.20,2314,6
3901,118,25.28,2.10,2314,6
3903,118,25.28,2.20,2300,6
3905,118,25.28,2.10,2300,6
3907,118,25.28,2.20,2300,6
3909,118,25.28,2.10,2300,6
3911,118,25.28,2.10,2300,6
3917,118,25.28,2.20,2300,6
3919,118,25.29,2.10,2300,6
3921,118,25.29,2.20,2300,6
3923,118,25.28,2.10,2300,6
3925,118,25.28,2.20,2300,6
3927,118,25.28,2.10,2300,6
3929,118,25.28,2.20,2300,6
3931,118,25.28,2.10,2300,6
3937,118,25.29,2.10,2300,6
3939,118,25.29,2.10,2300,6
3941,118,25.29,2.10,2300,6
3943,118,25.29,2.10,2300,6
3945,118,25.28,2.20,2300,6
3947,118,25.28,2.20,2300,6
3949,118,25.28,2.10,2300,6
3951,118,25.28,2.20,2300,6
3957,118,25.28,2.20,2300,6
3959,118,25.29,2.20,2300,6
3961,118,25.29,2.10,2300,6
3963,118,25.29,2.20,2300,6
3965,118,25.29,2.20,2300,6
3967,118,25.29,2.20,2300,6
3969,118,25.29,2.20,2300,6
3971,118,25.28,2.20,2300,6
3977,118,25.29,2.20,2300,5
3979,118,25.29,2.10,2300,5
3981,118,25.28,2.30,2300,5
3983,118,25.28,2.20,2300,5
3985,118,25.29,2.20,2300,5
3987,118,25.29,2.10,2300,5
3989,118,25.28,2.10,2300,5
3991,118,25.28,2.20,2300,5
3997,118,25.29,2.10,2300,5
3999,118,25.29,2.20,2300,5
4011,1047,23.30,102.40,2300,6
4020,1047,22.88,102.70,6200,6
4022,1047,23.43,107.10,6200,6
4024,1047,23.66,111.90,6200,6
4026,1047,24.08,105.80,6200,6
4028,1047,24.25,109.00,6200,6
4030,1047,24.38,108.50,16642,7
4032,1047,24.40,106.40,16642,7
4035,1047,24.54,104.60,16642,7
4036,1047,24.66,104.50,16642,7
4038,1047,24.72,103.90,16642,7
4039,1047,24.72,100.60,16642,7
4041,1047,24.77,96.90,16642,7
4042,1047,24.84,96.40,16642,7
4045,1047,24.87,91.70,16642,7
4047,1047,24.87,90.80,16642,7
4050,1047,24.89,87.20,18914,7
4053,1047,24.96,82.90,18914,7
4055,1047,24.97,78.50,18914,5
4058,1047,25.00,74.40,18914,5
4061,1047,25.00,71.60,18914,5
4063,1047,25.03,68.10,18914,5
4066,1047,25.06,64.70,20900,6
4069,1047,25.04,62.60,20900,6
4071,1047,25.06,58.30,20900,6
4074,1047,25.08,55.70,20900,6
4077,1047,25.08,53.50,20900,7
4080,1047,25.11,51.50,20900,7
4082,1047,25.11,50.10,20900,7
4085,1047,25.10,48.00,22085,7
4088,1047,25.10,46.30,22085,7
4090,1047,25.10,43.20,22085,7
4096,1047,25.13,36.40,21642,7
4097,1047,25.13,36.40,21642,7
4099,1047,25.11,35.50,21642,7
4101,1047,25.11,34.40,21642,7
4104,1047,25.14,33.90,21642,7
4106,1047,25.12,33.40,21642,7
4109,1047,25.12,31.60,21642,7
4112,1047,25.12,31.00,21642,6
4115,1047,25.13,30.10,21685,6
4117,1047,25.11,29.50,21685,6
4120,1047,25.11,28.60,21685,6
4123,1047,25.13,28.90,21685,6
4125,1047,25.14,27.80,21685,6
4128,1047,25.16,26.40,21685,6
4131,1047,25.14,24.80,22314,6
4134,1047,25.15,24.40,22314,6
4136,1047,25.16,24.20,22314,6
4139,1047,25.16,23.90,22314,6
4141,1047,25.16,23.40,22314,6
4144,1047,25.13,23.40,22314,6
4147,1047,25.12,22.50,22028,6
4150,1047,25.15,23.00,22028,6
4152,1047,25.15,22.10,22028,6
4155,1047,25.14,22.00,22028,6
4158,1047,25.15,21.50,22028,6
4160,1047,25.15,21.70,22028,6
4163,1047,25.15,21.50,21857,6
4166,1047,25.15,21.20,21857,6
4168,1047,25.16,21.10,21857,6
4171,1047,25.15,20.80,21857,6
4174,1047,25.14,20.00,21857,6
4176,1047,25.16,20.20,21857,6
4179,1047,25.16,19.40,22257,6
4182,1047,25.16,19.80,22257,6
4184,1047,25.16,19.50,22257,6
4187,1047,25.14,19.20,22257,6
4190,1047,25.15,19.50,22257,6
4195,1047,25.14,18.00,22085,6
4197,1047,25.18,18.20,22085,6
4199,1047,25.15,18.10,22085,6
4201,1047,25.17,17.80,22085,6
4203,1047,25.12,17.50,22085,6
4206,1047,25.16,17.40,22371,7
4209,1047,25.15,17.60,22371,7
4255,1047,25.17,18.20,23028,7
4257,1047,25.17,18.30,23028,7
4259,1047,25.16,17.90,23028,7
4261,1047,25.16,17.80,23028,7
4263,1047,25.15,18.20,23028,6
4265,1047,25.15,18.30,23028,6
4267,1047,25.17,18.10,23028,6
4269,1047,25.17,17.80,22257,6
4271,1047,25.17,17.70,22257,6
4275,1047,25.16,18.40,22257,6
4277,1047,25.14,18.40,22257,6
4279,1047,25.16,18.30,22257,6
4281,1047,25.16,17.90,22257,6
4283,1047,25.14,17.90,22257,6
4285,1047,25.18,18.20,23157,6
4287,1047,25.17,18.10,23157,6
4291,1047,25.16,17.80,23157,6
4297,1047,25.14,18.10,23157,6
4299,1047,25.14,18.10,23157,7
4301,1047,25.14,17.80,22085,7
4303,1047,25.14,17.40,22085,7
4305,1047,25.15,17.40,22085,7
4307,1047,25.15,18.00,22085,7
4309,1047,25.17,17.90,22085,7
4311,1047,25.13,18.00,22085,7
4317,1047,25.17,17.40,22428,7
4319,1047,25.14,17.90,22428,7
4321,1047,25.15,18.00,22428,7
4323,1047,25.15,17.80,22428,7
4325,1047,25.16,17.40,22428,7
4327,1047,25.14,17.40,22428,7
4329,1047,25.15,18.10,22428,7
4331,1047,25.15,18.20,22428,7
4337,1047,25.14,17.80,22200,7
4339,1047,25.16,18.00,22200,7
4355,1047,25.15,18.10,22257,7
4357,1047,25.16,17.80,22257,6
4359,1047,25.16,17.90,22257,6
4361,1047,25.15,18.40,22257,6
4363,1047,25.15,18.40,22257,6
4365,1047,25.16,18.50,22257,6
4367,1047,25.15,18.00,22257,6
4369,1047,25.17,18.00,22257,6
4371,1047,25.15,18.40,22257,6
4377,1047,25.16,18.10,22257,6
4379,1047,25.14,18.10,22257,6
4381,1047,25.16,18.80,22671,6
4383,1047,25.16,18.80,22671,6
4385,1047,25.16,18.70,22671,6
4387,1047,25.15,18.30,22671,6
4389,1047,25.15,18.30,22671,6
4391,1047,25.16,18.30,22671,6
4397,1047,25.17,18.00,21914,7
4399,1047,25.15,18.40,21914,7
4401,1047,25.16,18.00,21914,7
4403,1047,25.13,17.90,21914,6
4405,1047,25.14,18.10,21914,6
4407,1047,25.16,18.30,21914,6
4409,1047,25.15,18.20,21914,6
4411,1047,25.14,18.00,21914,6
4417,1047,25.15,18.60,22371,6
4419,1047,25.15,18.50,22371,6
4421,1047,25.16,18.10,22371,6
4423,1047,25.14,17.80,22371,6
4425,1047,25.16,17.70,22371,6
