Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3610,118,0.00,0.00,0,-2
3612,118,25.32,0.00,0,-2
3615,118,25.32,0.00,0,-2
3616,118,25.32,0.00,0,-2
3618,118,25.32,0.00,0,-2
3619,118,25.32,0.00,0,-2
3621,118,25.32,0.00,0,-2
3622,118,25.32,0.00,0,-2
3624,118,25.32,0.00,0,-2
3625,118,25.32,0.00,0,-2
3627,118,25.32,0.00,0,-2
3628,118,25.32,0.00,0,-2
3630,118,25.32,0.00,0,-2
3631,118,25.32,0.00,0,-2
3635,118,25.32,0.10,0,-2
3636,118,25.32,0.10,0,-1
3637,118,25.32,0.10,0,-1
3640,118,25.32,0.10,0,-1
3642,118,25.32,0.10,0,-1
3644,118,25.32,0.00,0,-1
3646,118,25.32,0.10,0,-1
3649,118,25.32,0.10,0,-2
3651,118,25.32,0.10,0,-2
3654,118,25.32,0.00,0,-2
3655,118,25.32,0.00,0,-2
3658,118,25.32,0.00,0,-2
3660,118,25.32,0.00,0,-2
3662,118,25.32,0.00,0,-2
3664,118,25.32,0.00,0,-2
3667,118,25.32,0.00,0,-2
3669,118,25.32,0.00,0,-2
3671,118,25.32,0.00,0,-3
3674,118,25.32,0.00,0,-3
3676,118,25.32,0.00,0,-3
3678,118,25.32,0.00,0,-3
3680,118,25.32,0.00,0,-3
3683,118,25.32,0.00,0,-2
3685,118,25.32,0.00,0,-2
3687,118,25.32,0.00,0,-2
3689,118,25.32,0.00,0,-2
3692,118,25.32,0.00,0,-2
3694,118,25.32,0.00,0,-2
3696,118,25.32,0.00,0,-2
3698,118,25.32,0.00,0,-2
3701,118,25.32,0.00,0,-2
3703,118,25.32,0.00,0,-2
3705,118,25.32,0.00,0,-2
3707,118,25.32,0.00,0,-2
3710,118,25.32,0.00,0,-2
3712,118,25.32,0.00,0,-2
3714,118,25.32,0.00,0,-2
3716,118,25.32,0.00,0,-2
3719,118,25.32,0.00,0,-2
3721,118,25.32,0.00,0,-2
3723,118,25.32,0.00,0,-2
3725,118,25.32,0.00,0,-2
3728,118,25.32,0.00,0,-2
3730,118,25.32,0.00,0,-2
3732,118,25.32,0.00,0,-2
3734,118,25.32,0.00,0,-2
3737,118,25.32,0.00,0,-2
3739,118,25.32,0.00,0,-2
3741,118,25.32,0.00,0,-2
3743,118,25.32,0.00,0,-2
3746,118,25.32,0.00,0,-2
3748,118,25.32,0.00,0,-2
3750,118,25.32,0.00,0,-2
3753,118,25.32,0.00,0,-2
3755,118,25.32,0.00,0,-2
3757,118,25.32,0.00,0,-2
3759,118,25.32,0.00,0,-2
3762,118,25.32,0.00,0,-2
3764,118,25.32,0.10,0,-3
3766,118,25.32,0.10,0,-3
3768,118,25.32,0.10,0,-3
3771,118,25.32,0.20,0,-3
3773,118,25.32,0.80,0,-3
