Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3616,118,25.21,0.00,0,0
3618,118,25.21,0.00,0,0
3620,118,25.21,0.00,0,0
3622,118,25.21,0.00,0,0
3624,118,25.21,0.00,0,0
3626,118,25.21,0.00,0,0
3628,118,25.21,0.00,0,0
3630,118,25.21,0.00,0,0
3636,118,25.21,0.00,0,0
3638,118,25.21,0.00,0,0
3640,118,25.21,0.00,0,0
3642,118,25.21,0.00,0,0
3644,118,25.21,0.00,0,0
3646,118,25.21,0.00,0,0
3648,118,25.21,0.00,0,0
3650,118,25.21,0.00,0,0
3656,118,25.21,0.00,0,0
3658,118,25.21,0.00,0,0
3660,118,25.21,0.00,0,0
3662,118,25.21,0.00,0,0
3664,118,25.21,0.00,0,0
3666,118,25.21,0.00,0,0
3668,118,25.21,0.00,0,0
3670,118,25.21,0.00,0,0
3674,118,-99.84,0.00,2314,0
3676,118,-99.84,0.00,2314,0
3678,118,-99.84,0.00,2314,0
3680,118,-99.84,0.00,2314,0
3682,118,-99.84,0.00,2314,0
3684,118,-99.84,0.00,2314,0
3686,118,-99.84,0.00,2314,0
3688,118,-99.84,0.00,2314,0
3690,118,-99.84,0.00,2314,0
3692,118,-99.84,0.00,2314,0
3694,118,-99.84,0.00,2314,0
3695,118,-99.84,0.00,2314,0
3697,118,-99.84,0.00,2314,0
3698,118,-99.84,0.00,2314,0
3700,118,-99.84,0.00,2314,0
3702,118,-99.84,0.00,2314,0
3705,118,-99.84,0.00,2314,0
3708,118,-99.84,0.00,2314,-1
3710,118,-99.84,0.00,2314,-1
3713,118,-99.84,0.00,2314,-1
3715,118,-99.84,0.00,2314,-1
3718,118,-99.84,0.00,2314,-1
3721,118,-99.84,0.00,2314,-1
3723,118,-99.84,0.00,2314,-1
3726,118,-99.84,0.00,2314,-1
3728,118,-99.84,0.00,2314,-1
3731,118,-99.84,0.00,2314,0
3733,118,-99.84,0.00,2314,0
3736,118,-99.84,0.00,2314,0
3738,118,-99.84,0.00,2314,0
3741,118,-99.84,0.00,2314,0
3744,118,-99.84,0.00,2314,0
3746,118,-99.84,0.00,2314,0
3749,118,-99.84,0.00,2314,0
3751,118,-99.84,0.00,2314,0
3754,118,-99.84,0.00,2314,0
3756,118,-99.84,0.00,2314,0
3759,118,-99.84,0.00,2314,0
3761,118,-99.84,0.00,2314,0
3764,118,-99.84,76.80,57,0
3766,118,-99.84,153.60,3328,0
3771,118,25.16,2.80,1671,0
3774,118,25.19,2.80,1671,0
3775,118,25.19,2.70,1671,0
3777,118,25.19,2.90,2128,0
3778,118,25.19,3.10,2128,0
3781,118,25.19,3.00,2128,0
3783,118,25.20,3.10,2128,0
3786,118,25.20,2.90,2128,0
3788,118,25.19,2.80,2128,-1
3791,118,25.20,2.90,2128,-1
3793,118,25.20,2.80,2128,-1
3796,118,25.19,2.80,2171,-1
3798,118,25.19,2.70,2171,-1
3801,118,25.19,2.80,2171,0
3803,118,25.20,2.70,2171,0
3806,118,25.20,2.70,2171,0
3808,118,25.20,2.60,2171,0
3811,118,25.20,2.60,2171,0
3813,118,25.20,2.80,2171,0
3815,118,25.20,2.90,2171,0
3818,118,25.20,2.70,2171,0
3820,118,25.20,2.70,2171,0
3823,118,25.20,2.90,2171,0
3825,118,25.20,2.80,2171,0
3828,118,25.19,2.90,2171,0
3830,118,25.19,2.80,2171,0
3833,118,25.20,3.00,2171,0
3835,118,25.19,3.10,2171,0
3837,118,25.19,3.00,2171,0
3840,118,25.20,2.80,2171,0
3842,118,25.20,2.90,2171,0
3845,118,25.19,2.80,2171,0
3847,118,25.19,2.90,2171,0
3849,118,25.20,2.70,2171,0
3855,118,25.20,2.90,2171,0
3856,118,25.20,2.80,2171,0
3858,118,25.20,3.00,2171,0
3859,118,25.19,2.90,2171,0
3862,118,25.19,2.80,2171,0
3864,118,25.19,2.90,2171,0
3866,118,25.20,3.00,2171,0
3869,118,25.20,3.00,2171,0
3871,118,25.20,2.90,2171,0
3874,118,25.19,2.90,2171,0
3876,118,25.19,3.10,2171,0
3879,118,25.19,3.30,2171,0
3881,118,25.19,3.10,2171,0
3883,118,25.20,3.10,2171,0
3886,118,25.20,3.00,2171,0
3888,118,25.20,3.00,2171,0
3891,118,25.20,3.00,2171,0
3893,118,25.20,2.80,2171,0
3896,118,25.20,2.80,2171,0
3898,118,25.20,3.00,2171,0
3900,118,25.20,2.90,2171,0
3903,118,25.20,2.90,2171,0
3905,118,25.20,2.80,2171,0
3908,118,25.20,2.90,2171,0
3910,118,25.20,2.80,2171,0
3913,118,25.20,2.70,2171,0
3915,118,25.20,2.70,2171,0
3918,118,25.20,2.80,2171,0
3920,118,25.19,2.80,2171,0
3922,118,25.19,2.80,2171,0
3925,118,25.20,2.80,2171,0
3927,118,25.20,2.70,2171,0
3930,118,25.20,2.90,2185,0
3933,118,25.20,3.00,2185,0
3934,118,25.20,2.90,2185,0
3937,118,25.20,2.90,2185,0
3939,118,25.20,3.00,2185,0
3942,118,25.19,2.80,2185,0
3944,118,25.19,2.80,2171,0
3947,118,25.20,2.80,2171,0
3949,118,25.20,2.60,2171,0
3952,118,25.19,2.70,2171,0
3954,118,25.20,2.70,2171,0
3956,118,25.20,2.60,2171,0
3959,118,25.19,2.50,2171,0
3961,118,25.19,2.60,2171,0
3964,118,25.20,2.80,2171,0
3966,118,25.20,2.80,2171,0
3969,118,25.20,2.70,2171,0
3971,118,25.20,2.80,2171,0
3973,118,25.20,2.90,2171,0
3976,118,25.20,2.80,2171,0
3978,118,25.20,2.80,2171,0
3981,118,25.20,3.00,2171,0
3983,118,25.20,3.00,2171,0
3986,118,25.20,3.00,2171,0
3988,118,25.20,2.90,2171,0
3990,118,25.20,3.00,2171,0
3993,118,25.20,3.10,2171,0
3995,118,25.19,3.10,2171,0
3998,118,25.19,3.00,2171,0
4000,1047,25.19,3.00,2171,0
4003,1047,25.19,3.20,2171,0
4005,1047,25.19,3.00,2171,0
4008,1047,25.19,2.90,2171,0
4010,1047,25.20,2.80,2171,0
4013,1047,25.20,2.70,2171,0
4015,1047,25.20,2.80,2171,0
4018,1047,25.20,2.80,2171,0
4022,1047,23.47,88.70,5685,0
4024,1047,23.62,93.80,5685,0
4026,1047,23.81,94.70,5685,0
4028,1047,23.91,98.50,14800,0
4031,1047,24.19,94.80,14800,0
4034,1047,24.34,100.70,14800,0
4036,1047,24.34,101.20,14800,0
4039,1047,24.46,103.30,14800,0
4042,1047,24.58,105.80,14800,0
4045,1047,24.70,97.70,14800,0
4047,1047,24.75,93.70,19342,0
4050,1047,24.79,89.80,19342,0
4053,1047,24.83,86.00,19342,0
4055,1047,24.86,81.80,19342,0
4058,1047,24.86,78.40,19342,0
4061,1047,24.88,77.50,19342,0
4063,1047,24.91,74.70,19342,0
4066,1047,24.92,70.90,20600,0
4069,1047,24.92,67.70,20600,-1
4072,1047,24.91,65.30,20600,-1
4074,1047,24.95,60.90,20600,-1
4077,1047,24.98,57.70,20600,-1
4080,1047,24.98,55.30,20600,0
4083,1047,24.98,54.20,20600,0
4085,1047,24.98,52.60,20842,0
4088,1047,24.99,49.70,20842,0
4091,1047,25.00,46.90,20842,0
4093,1047,25.00,45.10,20842,0
4096,1047,25.01,43.10,20842,0
4099,1047,25.00,40.50,20842,0
4101,1047,25.01,39.10,21528,0
