Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3614,118,0.00,0.00,0,1
3615,118,25.28,0.00,0,1
3617,118,25.28,0.00,0,1
3618,118,25.28,0.00,0,1
3620,118,25.28,0.00,0,1
3621,118,25.28,0.00,0,1
3623,118,25.28,0.00,0,1
3624,118,25.28,0.00,0,1
3625,118,25.28,0.00,0,1
3626,118,25.28,0.00,0,1
3627,118,25.28,0.00,0,1
3628,118,25.28,0.00,0,1
3630,118,25.28,0.00,0,1
3632,118,25.28,0.00,0,1
3634,118,25.28,0.00,0,1
3636,118,25.28,0.00,0,1
3638,118,25.28,0.00,0,1
3640,118,25.28,0.00,0,1
3643,118,25.28,0.00,0,1
3645,118,25.28,0.00,0,1
3647,118,25.28,0.00,0,1
3649,118,25.28,0.00,0,1
3651,118,25.28,0.00,0,1
3653,118,25.28,0.00,0,1
3656,118,25.28,0.00,0,1
3658,118,25.28,0.00,0,1
3660,118,25.28,0.00,0,1
3662,118,25.28,0.00,0,1
3664,118,25.28,0.00,0,1
3666,118,25.28,0.00,0,1
3669,118,25.28,0.00,0,1
3671,118,25.28,0.00,0,2
3673,118,25.28,0.00,0,2
3675,118,25.28,0.00,0,2
3677,118,25.28,0.00,0,2
3679,118,25.28,0.00,0,2
3682,118,25.28,0.00,0,2
3684,118,25.28,0.00,0,2
3686,118,25.28,0.00,0,2
3688,118,25.28,0.00,0,2
3690,118,25.28,0.00,0,2
3693,118,25.28,0.00,0,2
3695,118,25.28,0.00,0,1
3697,118,25.28,0.00,0,1
3699,118,25.28,0.00,0,1
3701,118,25.28,0.00,0,1
3703,118,25.28,0.00,0,1
3706,118,25.28,0.00,0,1
3708,118,25.28,0.00,0,1
3710,118,25.28,0.00,0,1
3715,118,25.28,0.00,0,1
3716,118,25.28,0.00,0,1
3718,118,25.28,0.00,0,2
3719,118,25.28,0.00,0,2
3721,118,25.28,0.00,0,2
3723,118,25.28,0.00,0,2
3725,118,25.28,0.00,0,2
3727,118,25.28,0.00,0,2
3729,118,25.28,0.00,0,2
3731,118,25.28,0.00,0,2
3734,118,25.28,0.00,0,2
3736,118,25.28,0.00,0,2
3738,118,25.28,0.00,0,2
3740,118,25.28,0.00,0,2
3742,118,25.28,0.00,0,2
3745,118,25.28,0.00,0,2
3747,118,25.28,0.00,0,2
3749,118,25.28,0.00,0,2
3751,118,25.28,0.00,0,2
3753,118,25.28,0.00,0,1
3755,118,25.28,0.10,0,1
3758,118,25.28,0.10,0,1
3760,118,25.28,0.10,0,1
3762,118,25.28,0.20,0,1
3764,118,25.28,0.20,0,2
3766,118,25.28,0.80,0,2
3768,118,25.28,1.90,0,2
3771,118,25.28,2.50,0,2
3773,118,25.28,3.10,771,2
3775,118,25.28,4.10,771,2
3778,118,25.28,4.90,771,2
3780,118,25.28,5.60,771,2
3782,118,25.20,6.30,771,2
3784,118,25.20,6.10,771,2
3787,118,25.20,6.00,771,2
3789,118,25.20,6.00,771,2
3792,118,25.20,6.40,385,2
3794,118,25.23,6.40,385,2
3796,118,25.23,6.00,385,2
3799,118,25.23,6.40,385,2
3801,118,25.23,7.10,385,3
3803,118,25.19,7.40,385,3
3806,118,25.19,7.10,385,3
3808,118,25.19,7.40,1328,3
3810,118,25.23,7.30,1328,3
3813,118,25.23,7.00,1328,5
3815,118,25.24,7.20,1328,5
3818,118,25.24,6.80,1328,5
3820,118,25.24,6.80,1328,5
3823,118,25.25,6.50,1328,6
3825,118,25.25,6.50,1728,6
3827,118,25.25,6.40,1728,6
3830,118,25.25,6.20,1728,6
3833,118,25.25,6.30,1728,6
3835,118,25.25,6.00,1728,8
3837,118,25.25,6.10,1728,8
3839,118,25.25,5.80,1728,8
3842,118,25.25,5.70,1728,8
3844,118,25.25,5.40,1985,8
3847,118,25.26,5.40,1985,8
3849,118,25.26,5.40,1985,8
3852,118,25.26,5.40,1985,8
3854,118,25.26,5.20,1985,8
3856,118,25.26,5.20,1985,8
3859,118,25.26,5.00,1985,8
3861,118,25.26,4.90,2057,8
3864,118,25.26,4.80,2057,8
3866,118,25.26,4.60,2057,8
3869,118,25.26,4.60,2057,8
3871,118,25.26,4.30,2057,8
3874,118,25.27,4.30,2057,8
3876,118,25.27,4.10,2114,8
3878,118,25.27,3.90,2114,8
3881,118,25.26,4.00,2114,8
3883,118,25.26,3.80,2114,8
3886,118,25.27,3.70,2114,8
3888,118,25.26,3.70,2114,8
3891,118,25.26,3.50,2114,8
3893,118,25.26,3.50,2157,8
3895,118,25.27,3.60,2157,8
3898,118,25.27,3.30,2157,8
3900,118,25.27,3.40,2157,8
3903,118,25.27,3.40,2157,8
3905,118,25.27,3.20,2157,8
3908,118,25.27,3.20,2157,8
3910,118,25.27,3.30,2157,8
3913,118,25.26,3.20,2157,8
3915,118,25.26,3.30,2157,8
3917,118,25.27,3.20,2157,8
3920,118,25.27,3.20,2157,8
3922,118,25.26,3.20,2157,8
3925,118,25.26,3.20,2157,8
3927,118,25.27,3.20,2157,8
3930,118,25.27,3.10,2157,8
3935,118,25.26,2.90,2171,8
3936,118,25.26,2.90,2171,8
3938,118,25.26,3.00,2171,8
3939,118,25.27,2.90,2171,8
3942,118,25.27,2.90,2171,8
3944,118,25.27,3.00,2171,8
3946,118,25.27,2.90,2171,8
3949,118,25.27,2.90,2171,8
3951,118,25.27,2.90,2171,8
3954,118,25.27,2.90,2171,8
3956,118,25.27,3.00,2171,8
3959,118,25.27,2.90,2171,8
3961,118,25.27,3.00,2200,8
3964,118,25.27,3.00,2200,8
3966,118,25.27,3.00,2200,8
3968,118,25.27,3.20,2200,8
3971,118,25.27,3.10,2200,8
3973,118,25.26,3.00,2200,8
3976,118,25.27,3.00,2185,9
3978,118,25.27,2.90,2185,9
3980,118,25.27,2.90,2185,9
3983,118,25.27,2.80,2185,9
3985,118,25.27,2.90,2185,9
3988,118,25.27,2.80,2185,9
3990,118,25.26,2.80,2185,9
3993,118,25.26,2.80,2171,9
3995,118,25.27,2.80,2171,9
3998,118,25.27,2.90,2171,8
4000,1047,25.27,2.80,2171,8
4002,1047,25.27,2.90,2171,8
4005,1047,25.27,2.80,2171,8
4007,1047,25.27,2.90,2171,8
4014,1047,22.53,102.70,1842,8
4016,1047,24.33,98.70,1842,8
4018,1047,24.38,92.70,4042,8
4034,1047,22.58,118.60,8571,23
4036,1047,23.07,115.50,8571,23
4038,1047,23.33,127.60,8571,23
4040,1047,23.33,133.70,8571,23
4042,1047,23.55,135.70,8571,23
4044,1047,23.67,138.70,8571,67
4046,1047,23.73,139.00,8571,67
4048,1047,23.75,141.90,8571,67
4050,1047,23.90,146.50,12171,67
4053,1047,23.55,143.20,12171,67
