Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3610,118,0.00,0.00,0,-1
3612,118,25.19,0.00,0,-1
3615,118,25.19,0.00,0,-1
3616,118,25.19,0.00,0,-1
3618,118,25.19,0.00,0,-1
3619,118,25.19,0.00,0,-1
3621,118,25.19,0.00,0,-1
3622,118,25.19,0.00,0,-1
3624,118,25.19,0.00,0,-2
3625,118,25.19,0.00,0,-2
3627,118,25.19,0.00,0,-2
3628,118,25.19,0.00,0,-2
3630,118,25.19,0.00,0,-2
3631,118,25.19,0.00,0,-2
3636,118,25.19,0.00,0,-2
3637,118,25.19,0.00,0,-2
3639,118,25.19,0.00,0,-2
3640,118,25.19,0.00,0,-2
3642,118,25.19,0.00,0,-2
3644,118,25.19,0.00,0,-2
3646,118,25.19,0.00,0,-2
3649,118,25.19,0.00,0,-2
3651,118,25.19,0.00,0,-2
3654,118,25.19,0.00,0,-2
3655,118,25.19,0.00,0,-2
3658,118,25.19,0.00,0,-2
3660,118,25.19,0.00,0,-1
3662,118,25.19,0.00,0,-1
3664,118,25.19,0.00,0,-1
3667,118,25.19,0.00,0,-1
3669,118,25.19,0.00,0,-1
3671,118,25.19,0.00,0,-1
3674,118,25.19,0.00,0,-1
3676,118,25.19,0.00,0,-1
3678,118,25.19,0.00,0,-1
3680,118,25.19,0.00,0,-1
3683,118,25.19,0.00,0,-1
3685,118,25.19,0.00,0,-1
3687,118,25.19,0.00,0,-1
3689,118,25.19,0.00,0,-1
3692,118,25.19,0.00,0,-1
3694,118,25.19,0.00,0,-1
3696,118,25.19,0.00,0,-1
3698,118,25.19,0.00,0,-1
3701,118,25.19,0.00,0,-1
3703,118,25.19,0.00,0,-1
3705,118,25.19,0.00,0,-1
3707,118,25.19,0.00,0,-2
3710,118,25.19,0.00,0,-2
3712,118,25.19,0.00,0,-2
3714,118,25.19,0.00,0,-2
3716,118,25.19,0.00,0,-2
3719,118,25.19,0.00,0,-2
3721,118,25.19,0.00,0,-2
3723,118,25.19,0.00,0,-2
3725,118,25.19,0.00,0,-2
3728,118,25.19,0.00,0,-2
3730,118,25.19,0.00,0,-1
3732,118,25.19,0.00,0,-1
3734,118,25.19,0.00,0,-1
3737,118,25.19,0.00,0,-1
3739,118,25.19,0.00,0,-1
3741,118,25.19,0.00,0,-1
3743,118,25.19,0.00,0,-1
3746,118,25.19,0.00,0,-1
3748,118,25.19,0.00,0,-1
3750,118,25.19,0.00,0,-1
3753,118,25.19,0.00,0,-1
3755,118,25.19,0.00,0,-1
3757,118,25.19,0.00,0,-1
3759,118,25.19,0.00,0,-1
3762,118,25.19,0.00,0,-1
3764,118,25.19,0.10,0,-1
3766,118,25.19,0.10,0,-1
3768,118,25.19,0.20,0,-1
3771,118,25.19,0.40,0,-1
3773,118,25.19,1.20,0,-1
3775,118,25.19,1.90,0,-1
3777,118,25.19,2.70,0,-1
3780,118,25.19,3.70,757,-1
3782,118,25.19,4.60,757,-1
3784,118,25.19,5.30,757,-1
3787,118,25.19,6.30,757,-1
3789,118,25.10,5.90,757,-1
3792,118,25.10,5.90,757,-1
3794,118,25.10,5.90,757,-1
3797,118,25.10,6.30,385,-1
3799,118,25.14,5.90,385,0
3801,118,25.14,5.60,385,0
3804,118,25.14,5.90,1000,0
3806,118,25.10,6.50,1000,0
3809,118,25.10,6.30,1000,0
3811,118,25.10,6.50,1000,1
3814,118,25.14,7.10,1000,1
3816,118,25.14,6.80,1000,1
3818,118,25.14,6.80,1000,1
3821,118,25.16,6.60,1000,1
3823,118,25.16,6.60,1571,1
3826,118,25.16,6.60,1571,1
3828,118,25.16,6.30,1571,1
3830,118,25.16,6.40,1571,1
3836,118,25.17,5.20,1871,3
3837,118,25.17,5.50,1871,3
3839,118,25.17,5.10,1871,3
3840,118,25.17,5.10,2014,3
3843,118,25.17,5.10,2014,3
3845,118,25.17,5.00,2014,3
3848,118,25.17,5.10,2014,3
3850,118,25.17,4.90,2014,3
3852,118,25.17,4.90,2014,3
3855,118,25.17,4.60,2014,3
3857,118,25.18,4.50,2014,4
3860,118,25.18,4.40,2014,4
3862,118,25.18,4.60,2071,4
3864,118,25.18,4.40,2071,4
3867,118,25.18,4.10,2071,4
3869,118,25.18,4.20,2071,4
3872,118,25.17,4.00,2071,4
3874,118,25.17,4.00,2071,4
3877,118,25.17,3.80,2071,4
3879,118,25.17,3.80,2100,4
3882,118,25.17,3.90,2100,5
3884,118,25.17,4.00,2100,5
3886,118,25.18,3.90,2100,5
3889,118,25.18,4.10,2100,5
3891,118,25.18,4.10,2100,5
3894,118,25.18,4.00,2100,4
3896,118,25.18,3.90,2114,4
3899,118,25.18,3.80,2114,4
3901,118,25.17,4.20,2114,4
3903,118,25.17,4.00,2114,4
3906,118,25.17,4.00,2114,4
3908,118,25.17,3.80,2114,4
3911,118,25.17,4.00,2114,4
3914,118,25.17,3.90,2114,4
3916,118,25.17,3.90,2128,5
3918,118,25.17,3.90,2128,5
3920,118,25.18,3.70,2128,5
3923,118,25.18,4.00,2128,5
3925,118,25.18,3.80,2128,5
3928,118,25.18,3.80,2128,5
3930,118,25.17,3.70,2128,5
3933,118,25.17,3.80,2142,5
3935,118,25.18,3.70,2142,5
3937,118,25.18,3.90,2142,5
3940,118,25.18,3.70,2142,5
3942,118,25.18,3.60,2142,5
3945,118,25.18,3.70,2142,5
3947,118,25.17,3.80,2142,5
3950,118,25.17,3.70,2142,5
3952,118,25.18,3.80,2128,5
3954,118,25.18,3.60,2128,5
3957,118,25.18,3.70,2128,5
3959,118,25.18,3.80,2128,5
3962,118,25.18,3.50,2128,5
3964,118,25.18,3.60,2128,5
3967,118,25.18,3.50,2128,5
3969,118,25.18,3.50,2128,5
3971,118,25.18,3.50,2128,5
3974,118,25.18,3.50,2128,5
3976,118,25.18,3.40,2128,5
3979,118,25.18,3.80,2128,5
3981,118,25.18,3.70,2128,5
3984,118,25.17,3.50,2128,5
3986,118,25.17,3.60,2128,5
3988,118,25.18,3.70,2128,5
