Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3616,118,0.00,0.00,0,-3
3617,118,24.97,0.00,0,-3
3619,118,24.97,0.00,0,-3
3620,118,24.97,0.00,0,-3
3622,118,24.97,0.00,0,-3
3623,118,24.97,0.00,0,-3
3625,118,24.97,0.00,0,-3
3626,118,24.97,0.00,0,-3
3628,118,24.97,0.00,0,-3
3629,118,24.97,0.00,0,-3
3634,118,24.97,0.00,0,-3
3635,118,24.97,0.00,0,-3
3637,118,24.97,0.00,0,-3
3638,118,24.97,0.00,0,-3
3640,118,24.97,0.00,0,-3
3641,118,24.97,0.00,0,-3
3643,118,24.97,0.00,0,-3
3644,118,24.97,0.00,0,-3
3646,118,24.97,0.00,0,-3
3648,118,24.97,0.00,0,-3
3650,118,24.97,0.00,0,-3
3653,118,24.97,0.00,0,-3
3655,118,24.97,0.00,0,-3
3657,118,24.97,0.00,0,-3
3659,118,24.97,0.00,0,-3
3662,118,24.97,0.00,0,-3
3664,118,24.97,0.00,0,-3
3666,118,24.97,0.00,0,-3
3669,118,24.97,0.00,0,-3
3674,118,24.97,0.00,0,-3
3675,118,24.97,0.00,0,-3
3677,118,24.97,0.00,0,-3
3678,118,24.97,0.00,0,-3
3680,118,24.97,0.00,0,-3
3682,118,24.97,0.00,0,-3
3684,118,24.97,0.00,0,-3
3687,118,24.97,0.00,0,-3
3689,118,24.97,0.00,0,-3
3692,118,24.97,0.00,0,-3
3693,118,24.97,0.00,0,-3
3696,118,24.97,0.00,0,-3
3698,118,24.97,0.00,0,-3
3700,118,24.97,0.00,0,-3
3702,118,24.97,0.00,0,-3
3705,118,24.97,0.00,0,-3
3707,118,24.97,0.00,0,-3
3709,118,24.97,0.00,0,-3
3712,118,24.97,0.00,0,-3
3714,118,24.97,0.00,0,-3
3716,118,24.97,0.00,0,-3
3718,118,24.97,0.00,0,-3
3720,118,24.97,0.00,0,-3
3723,118,24.97,0.00,0,-3
3725,118,24.97,0.00,0,-3
3727,118,24.97,0.00,0,-3
3729,118,24.97,0.00,0,-3
3732,118,24.97,0.00,0,-3
3734,118,24.97,0.00,0,-3
3736,118,24.97,0.00,0,-3
3738,118,24.97,0.00,0,-3
3741,118,24.97,0.00,0,-3
3743,118,24.97,0.00,0,-3
3745,118,24.97,0.00,0,-3
