Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3614,118,0.00,0.00,0,0
3616,118,25.19,0.00,0,0
3618,118,25.19,0.00,0,0
3620,118,25.19,0.00,0,0
3622,118,25.19,0.00,0,0
3624,118,25.19,0.00,0,0
3626,118,25.19,0.00,0,0
3628,118,25.19,0.00,0,0
3630,118,25.19,0.00,0,0
3632,118,25.19,0.00,0,0
3638,118,25.19,0.00,0,0
3640,118,25.19,0.00,0,0
3642,118,25.19,0.00,0,0
3644,118,25.19,0.00,0,0
3646,118,25.19,0.00,0,0
3648,118,25.19,0.00,0,0
3650,118,25.19,0.00,0,0
3652,118,25.19,0.00,0,0
3658,118,25.19,0.00,0,0
3660,118,25.19,0.00,0,0
3662,118,25.19,0.00,0,0
3664,118,25.19,0.00,0,0
3666,118,25.19,0.00,0,0
3668,118,25.19,0.00,0,0
3670,118,25.19,0.00,0,0
3672,118,25.19,0.00,0,0
3678,118,25.19,0.00,0,0
3680,118,25.19,0.00,0,0
3682,118,25.19,0.00,0,0
3684,118,25.19,0.00,0,0
3686,118,25.19,0.00,0,0
3688,118,25.19,0.00,0,0
3690,118,25.19,0.00,0,0
3692,118,25.19,0.00,0,0
3698,118,25.19,0.00,0,0
3700,118,25.19,0.00,0,0
3702,118,25.19,0.00,0,0
3704,118,25.19,0.00,0,0
3706,118,25.19,0.00,0,0
3708,118,25.19,0.00,0,0
3710,118,25.19,0.00,0,0
3712,118,25.19,0.00,0,0
3718,118,25.19,0.00,0,0
3720,118,25.19,0.00,0,0
3722,118,25.19,0.00,0,0
3724,118,25.19,0.00,0,0
3726,118,25.19,0.00,0,0
3728,118,25.19,0.00,0,0
3730,118,25.19,0.00,0,0
3732,118,25.19,0.00,0,0
3738,118,25.19,0.00,0,1
3740,118,25.19,0.00,0,1
3742,118,25.19,0.00,0,1
3744,118,25.19,0.00,0,1
3746,118,25.19,0.00,0,1
3748,118,25.19,0.00,0,1
3750,118,25.19,0.00,0,1
3752,118,25.19,0.00,0,1
3758,118,25.19,0.10,0,1
3760,118,25.19,0.10,0,1
3762,118,25.19,0.10,0,0
3764,118,25.19,0.20,0,0
3766,118,25.19,0.20,0,0
3768,118,25.19,0.20,0,0
3770,118,25.19,0.20,0,0
3772,118,25.19,0.50,0,0
3778,118,25.19,2.60,371,1
3780,118,25.19,3.20,371,1
3782,118,25.19,4.00,371,1
3784,118,25.19,4.50,371,1
3786,118,25.13,4.60,371,1
3788,118,25.13,4.30,371,1
3790,118,25.13,4.10,371,1
3792,118,25.13,3.80,371,1
3798,118,25.13,4.20,371,1
3800,118,25.13,4.70,357,1
3802,118,25.13,5.10,357,1
3804,118,25.13,5.40,357,1
3806,118,25.15,5.50,357,1
3808,118,25.15,5.10,357,1
3810,118,25.15,4.90,357,1
3812,118,25.15,5.20,357,1
3818,118,25.11,6.70,514,1
3820,118,25.11,6.50,514,1
3822,118,25.11,6.70,514,1
3824,118,25.11,6.90,514,1
3826,118,25.14,7.30,514,1
3828,118,25.14,6.80,514,1
3830,118,25.14,6.60,514,1
3832,118,25.14,6.60,914,2
3838,118,25.14,6.90,914,2
3840,118,25.14,7.20,914,2
3842,118,25.16,7.00,914,2
3844,118,25.16,6.70,914,2
3846,118,25.16,6.90,1414,2
3848,118,25.16,6.70,1414,2
3850,118,25.16,6.70,1414,2
3852,118,25.16,6.60,1414,2
3858,118,25.16,6.20,1614,3
3860,118,25.16,6.00,1614,3
3862,118,25.16,5.90,1614,3
3864,118,25.16,5.60,1614,3
3866,118,25.16,5.70,1614,3
3868,118,25.17,5.40,1614,5
3870,118,25.17,5.40,1614,5
3872,118,25.17,5.20,1614,5
3878,118,25.17,5.10,1885,6
3880,118,25.17,5.10,1885,6
3882,118,25.17,4.90,1885,6
3884,118,25.17,5.00,1885,6
3886,118,25.17,4.70,1885,6
3888,118,25.17,4.80,1971,6
3890,118,25.17,4.50,1971,7
3892,118,25.17,4.50,1971,7
3898,118,25.17,4.60,1971,7
3900,118,25.17,4.50,1971,7
3902,118,25.17,4.40,1971,8
3904,118,25.17,4.30,2057,8
3906,118,25.17,4.30,2057,8
3908,118,25.17,4.30,2057,8
3910,118,25.17,4.20,2057,8
3912,118,25.17,4.00,2057,8
3918,118,25.17,3.80,2057,8
3920,118,25.17,3.60,2057,8
3922,118,25.17,3.70,2100,8
3924,118,25.17,3.60,2100,8
3926,118,25.17,3.80,2100,8
3928,118,25.17,3.60,2100,8
3930,118,25.17,3.80,2100,8
3932,118,25.17,3.60,2100,8
3938,118,25.17,3.70,2114,9
3940,118,25.17,3.50,2114,9
3942,118,25.17,3.80,2114,9
3944,118,25.17,3.60,2114,9
3946,118,25.18,3.80,2114,9
3948,118,25.18,3.70,2114,9
3950,118,25.17,3.70,2114,9
3952,118,25.17,3.50,2114,9
3958,118,25.18,3.70,2128,9
3960,118,25.18,3.50,2128,8
3962,118,25.18,3.70,2128,8
3964,118,25.18,3.50,2128,8
3966,118,25.18,3.70,2128,8
3968,118,25.18,3.50,2128,8
3970,118,25.18,3.60,2142,8
3972,118,25.18,3.50,2142,8
3978,118,25.17,3.60,2142,8
3980,118,25.17,3.40,2142,8
3982,118,25.17,3.80,2142,8
3984,118,25.17,3.70,2157,8
3986,118,25.17,3.60,2157,8
3988,118,25.17,3.40,2157,8
3990,118,25.17,3.40,2157,8
3992,118,25.17,3.30,2157,8
3998,118,25.17,3.10,2157,8
4000,1047,25.17,3.00,2142,8
4003,1047,25.16,3.20,2142,8
4020,1047,24.31,130.10,3128,10
4022,1047,24.23,128.00,3128,10
4030,1047,23.72,142.60,3128,16
4037,1047,22.93,161.90,5957,16
4038,1047,22.74,169.50,5957,16
4040,1047,23.01,187.10,5957,16
4041,1047,23.16,192.70,5957,16
4048,1047,23.25,224.90,10100,38
4050,1047,23.52,225.70,10100,38
4052,1047,23.68,218.90,10100,38
4058,1047,23.83,202.50,10100,91
4060,1047,23.88,203.40,10100,91
4062,1047,23.90,199.50,10100,91
4064,1047,24.00,193.50,12185,91
4066,1047,23.75,197.70,12185,175
4068,1047,23.96,195.90,12185,175
4070,1047,23.95,189.80,12185,175
4072,1047,23.73,184.00,12185,175
4078,1047,24.10,172.00,12185,265
4080,1047,23.95,173.60,13442,265
4082,1047,24.19,171.60,13442,265
4084,1047,24.10,164.80,13442,265
4088,1047,24.24,156.90,13442,342
