Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3651,118,0,0,0,0
3653,118,16.75,0,0,0
3655,118,16.75,0,0,0
3657,118,16.75,0.1,0,0
3659,118,16.75,0.1,0,0
3661,118,16.75,0.1,0,0
3663,118,16.75,0.1,0,0
3665,118,16.75,0.1,0,0
3667,118,16.75,0.1,0,0
3669,118,16.75,0.1,0,0
3675,118,16.75,0.1,0,0
3677,118,16.75,0.1,0,0
3679,118,16.75,0.1,0,0
3681,118,16.75,0.1,0,0
3683,118,16.75,0.1,0,0
3685,118,16.75,0.1,0,0
3687,118,16.75,0.1,0,0
3689,118,16.75,0.1,0,0
3695,118,16.75,0.1,0,0
3697,118,16.75,0.1,0,0
3699,118,16.75,0.1,0,0
3701,118,16.75,0.1,0,0
3703,118,16.75,0.1,0,0
3705,118,16.75,0.1,0,0
3707,118,16.75,0.1,0,0
3709,118,16.75,0.1,0,0
3715,118,16.75,0.1,0,0
3717,118,16.75,0.1,0,0
3719,118,16.75,0.1,0,0
3721,118,16.75,0.1,0,0
3723,118,16.75,0.1,0,0
3725,118,16.75,0.1,0,0
3727,118,16.75,0.1,0,0
3729,118,16.75,0.1,0,0
3735,118,16.75,0.1,0,0
3737,118,16.75,0.1,0,0
3739,118,16.75,0.1,0,0
3741,118,16.75,0.1,0,0
3743,118,16.75,0.1,0,0
3745,118,16.75,0.1,0,0
3747,118,16.75,0.1,0,0
3749,118,16.75,0.1,0,0
3755,118,16.75,0.2,0,0
3757,118,16.75,0.2,0,0
3759,118,16.75,0.2,0,0
3761,118,16.75,0.2,0,0
3763,118,16.75,0.2,0,0
3765,118,16.75,0.2,0,0
3767,118,16.75,0.2,0,0
3769,118,16.75,0.2,0,0
3775,118,16.75,0.2,0,0
3777,118,16.75,0.2,0,0
3779,118,16.75,0.2,0,0
3781,118,16.75,0.2,0,0
3783,118,16.75,0.2,0,0
3785,118,16.75,0.2,0,0
3787,118,16.75,0.2,0,0
3789,118,16.75,0.3,0,0
3795,118,16.75,0.4,0,0
3797,118,16.75,0.6,0,0
3799,118,16.75,1,0,0
3801,118,16.75,1.4,757,0
3803,118,16.75,2,757,0
3805,118,16.75,2.5,757,0
3807,118,16.75,2.9,757,0
3809,118,16.75,2.7,757,0
3815,118,16.75,3,571,0
3817,118,16.75,2.9,571,0
3819,118,16.75,2.8,571,0
3821,118,16.75,3,571,0
3823,118,16.75,3.3,571,0
3825,118,16.74,3.1,571,0
3827,118,16.74,3.3,1500,0
3830,118,16.75,3.1,1500,0
3831,118,16.75,3.1,1500,0
3833,118,16.75,3.2,1500,0
3835,118,16.75,3.1,1500,0
3837,118,16.75,3,1500,0
3839,118,16.75,3.1,1500,0
3841,118,16.75,2.9,1500,0
3843,118,16.75,2.9,1585,0
3845,118,16.75,3,1585,0
3847,118,16.75,2.8,1585,0
3849,118,16.75,2.9,1585,0
3855,118,16.75,2.8,1585,0
3857,118,16.75,2.6,1585,0
3859,118,16.75,2.6,1614,0
3861,118,16.75,2.7,1614,0
3863,118,16.75,2.6,1614,0
3865,118,16.75,2.6,1614,0
3867,118,16.75,2.6,1614,0
3869,118,16.75,2.5,1614,0
3875,118,16.75,2.4,1628,0
3877,118,16.75,2.5,1628,0
3879,118,16.75,2.4,1628,0
3881,118,16.75,2.4,1628,0
3883,118,16.75,2.4,1628,0
3885,118,16.75,2.3,1628,0
3887,118,16.75,2.4,1628,0
3889,118,16.75,2.3,1628,0
3895,118,16.75,2.2,1614,0
3897,118,16.75,2.3,1614,0
3899,118,16.75,2.3,1614,0
3901,118,16.75,2.2,1614,0
3903,118,16.75,2.3,1614,0
3905,118,16.75,2.2,1614,0
3907,118,16.75,2.3,1628,0
3909,118,16.75,2.2,1628,0
3915,118,16.75,2.2,1628,0
3917,118,16.75,2.2,1628,0
3919,118,16.75,2.2,1628,0
3921,118,16.75,2.1,1628,0
3923,118,16.75,2.2,1628,0
3925,118,16.75,2.2,1628,0
3927,118,16.75,2.2,1628,0
