Time (ms),dshot,Voltage (V),Current (A),RPM,Thrust (g)
3618,118,0,0,0,0
3619,118,16.81,0,0,0
3620,118,16.81,0,0,0
3621,118,16.81,0,0,0
3622,118,16.81,0,0,0
3623,118,16.81,0,0,0
3624,118,16.81,0,0,0
3625,118,16.81,0,0,0
3626,118,16.81,0,0,0
3627,118,16.81,0,0,0
3629,118,16.81,0,0,0
3631,118,16.81,0,0,0
3634,118,16.81,0,0,0
3636,118,16.81,0,0,0
3638,118,16.81,0,0,0
3640,118,16.81,0,0,0
3642,118,16.81,0,0,0
3644,118,16.81,0,0,0
3646,118,16.81,0,0,0
3649,118,16.81,0,0,0
3651,118,16.81,0,0,0
3656,118,16.81,0,0,0
3657,118,16.81,0,0,0
3659,118,16.81,0,0,0
3660,118,16.81,0,0,0
3662,118,16.81,0,0,0
3664,118,16.81,0,0,0
3666,118,16.81,0,0,0
3668,118,16.81,0,0,0
3670,118,16.81,0,0,0
3672,118,16.81,0,0,0
3675,118,16.81,0,0,0
3677,118,16.81,0,0,0
3679,118,16.81,0,0,0
3681,118,16.81,0,0,0
3683,118,16.81,0,0,0
3686,118,16.81,0,0,0
3688,118,16.81,0,0,0
3690,118,16.81,0,0,0
3692,118,16.81,0,0,0
3694,118,16.81,0,0,0
3696,118,16.81,0,0,0
3699,118,16.81,0,0,0
3701,118,16.81,0,0,0
3703,118,16.81,0,0,0
3705,118,16.81,0,0,0
3707,118,16.81,0,0,0
3709,118,16.81,0,0,0
3712,118,16.81,0,0,0
3714,118,16.81,0,0,0
3716,118,16.81,0,0,0
3718,118,16.81,0,0,0
3720,118,16.81,0,0,0
3722,118,16.81,0,0,0
3725,118,16.81,0,0,0
3727,118,16.81,0,0,0
3729,118,16.81,0,0,0
3731,118,16.81,0,0,0
3734,118,16.81,0,0,0
3735,118,16.81,0,0,0
3738,118,16.81,0,0,1
3740,118,16.81,0,0,1
3742,118,16.81,0,0,1
3744,118,16.81,0,0,1
3746,118,16.81,0,0,1
3749,118,16.81,0,0,0
3751,118,16.81,0,0,0
3753,118,16.81,0,0,0
3755,118,16.81,0,0,0
3757,118,16.81,0,0,0
3759,118,16.81,0,0,0
3762,118,16.81,0.1,0,0
3764,118,16.81,0.2,0,0
3766,118,16.81,0.5,0,0
3768,118,16.81,1.2,0,0
3770,118,16.81,1.7,0,0
3772,118,16.81,2.2,0,0
3774,118,16.81,2.7,1071,0
3777,118,16.81,2.7,1071,0
3779,118,16.81,2.7,1071,0
3782,118,16.81,2.8,585,0
3784,118,16.81,3,585,1
3786,118,16.81,2.9,585,1
3789,118,16.81,2.9,585,1
3791,118,16.81,3,585,1
3794,118,16.8,3.3,585,1
3796,118,16.8,3.2,1714,1
3798,118,16.81,3.3,1714,1
3801,118,16.81,3.2,1714,1
3803,118,16.81,3.2,1714,1
3806,118,16.81,3,1714,1
3808,118,16.81,3.2,1714,1
3810,118,16.81,3.1,1714,1
3813,118,16.81,2.9,1714,1
3815,118,16.81,2.9,1742,1
3818,118,16.81,2.7,1742,1
3820,118,16.81,2.6,1742,0
3823,118,16.81,2.5,1742,0
3825,118,16.81,2.4,1742,0
3827,118,16.81,2.6,1742,0
3830,118,16.81,2.5,1742,0
3832,118,16.81,2.4,1757,0
3835,118,16.81,2.3,1757,0
3837,118,16.81,2.4,1757,0
3840,118,16.81,2.5,1757,0
3842,118,16.81,2.4,1757,0
3844,118,16.81,2.3,1771,0
3847,118,16.81,2.5,1771,0
3849,118,16.81,2.4,1771,0
3852,118,16.81,2.4,1771,0
3854,118,16.81,2.3,1771,1
3857,118,16.81,2.2,1771,1
3859,118,16.81,2.2,1771,1
3861,118,16.81,2.3,1771,1
3864,118,16.81,2.2,1771,1
3866,118,16.81,2.2,1771,0
3869,118,16.81,2.2,1771,0
3871,118,16.81,2.2,1771,0
3874,118,16.81,2.1,1771,0
3876,118,16.81,2.1,1771,0
3879,118,16.81,2.1,1771,1
3881,118,16.81,2.1,1771,1
3883,118,16.81,2.2,1771,1
3886,118,16.81,2.1,1771,1
3888,118,16.81,2.3,1771,1
3891,118,16.81,2.3,1771,1
3896,118,16.81,2.1,1814,1
3897,118,16.81,2.1,1814,1
3899,118,16.81,2,1814,1
3900,118,16.81,1.9,1814,1
3903,118,16.81,2,1814,1
3905,118,16.81,1.9,1814,1
3908,118,16.81,2,1814,1
3910,118,16.81,2,1814,1
3913,118,16.81,2.1,1814,1
3915,118,16.81,2,1814,1
3917,118,16.81,1.9,1828,1
3920,118,16.81,1.8,1828,1
3922,118,16.81,1.9,1828,1
3925,118,16.81,1.9,1828,1
3927,118,16.81,1.9,1828,1
3930,118,16.81,1.9,1857,1
3932,118,16.81,1.9,1857,1
3934,118,16.81,1.9,1857,1
3937,118,16.81,1.9,1857,1
3939,118,16.81,1.9,1857,1
3942,118,16.81,1.9,1857,1
3944,118,16.81,1.9,1857,1
3947,118,16.81,2,1857,1
3949,118,16.81,2,1857,1
3951,118,16.81,2.1,1857,1
3954,118,16.81,2,1857,1
3956,118,16.81,2.3,1857,1
3959,118,16.81,2.2,1857,1
3961,118,16.81,2,1857,1
3964,118,16.81,2.1,1857,1
3966,118,16.81,2,1857,1
3968,118,16.81,2,1828,1
3971,118,16.81,1.9,1828,1
3974,118,16.81,1.9,1828,1
3976,118,16.81,1.8,1828,1
3978,118,16.81,1.9,1828,1
3981,118,16.81,1.8,1828,1
3983,118,16.81,1.8,1828,1
3985,118,16.81,1.7,1828,1
3988,118,16.81,1.9,1814,1
3990,118,16.81,1.9,1814,1
3993,118,16.81,1.8,1814,1
3995,118,16.81,1.7,1814,1
3998,118,16.81,1.8,1814,1
4000,1047,16.81,1.8,1814,1
4003,1047,16.81,1.7,1814,1
4005,1047,16.81,1.9,1814,1
4008,1047,16.81,1.9,1814,1
4010,1047,16.81,1.9,1814,1
4013,1047,16.68,2.8,1814,1
4015,1047,16.52,18.3,1671,1
4018,1047,16.52,32.9,1671,0
4020,1047,16.51,42.9,1671,0
4023,1047,16.25,64.4,1671,0
4026,1047,16.01,78.5,1671,0
4028,1047,16.32,96.7,1671,0
4031,1047,16.27,100.9,7100,-1
4034,1047,16.4,93.7,7100,-1
4036,1047,16.45,100.4,7100,-1
4039,1047,16.48,99.3,7100,-1
4042,1047,16.52,104.3,7100,-9
4044,1047,16.57,103.1,7100,-9
4047,1047,16.57,104.9,7100,-9
4050,1047,16.58,103.4,13442,-9
4056,1047,16.67,85.2,16014,-10
4057,1047,16.67,85.3,16014,-10
4059,1047,16.68,85.1,16014,-10
4061,1047,16.67,84.7,16014,-10
4064,1047,16.7,83.3,16014,0
4067,1047,16.7,80.7,16014,0
4070,1047,16.7,77.3,16014,0
4072,1047,16.72,75,16014,0
4075,1047,16.71,74.2,18342,0
4078,1047,16.71,74.2,18342,1
4080,1047,16.71,74.1,18342,1
4083,1047,16.72,71.7,18342,1
4086,1047,16.72,65.2,18342,1
4089,1047,16.73,63.8,18342,0
4091,1047,16.72,63.4,18342,0
4094,1047,16.72,58.2,18342,0
4097,1047,16.73,57.1,18342,0
4099,1047,16.72,54.2,18342,-1
4102,1047,16.73,53.2,18342,-1
4105,1047,16.73,53.2,18342,-1
4108,1047,16.73,50.2,18342,-1
4111,1047,16.73,49.8,18342,-2
4114,1047,16.73,46.7,19171,-2
4116,1047,16.74,46.1,19171,-2
4119,1047,16.74,43.9,19171,-2
4122,1047,16.74,42.8,19171,-2
4124,1047,16.74,41.1,19171,-1
4127,1047,16.74,40.3,19171,-1
4130,1047,16.74,39,19657,-1
4133,1047,16.74,38.2,19657,-1
4136,1047,16.74,37.9,19657,-1
4138,1047,16.74,36.5,19657,-1
4141,1047,16.75,35.6,19657,-1
4144,1047,16.75,35.9,19657,-1
4147,1047,16.73,35.3,19385,-1
4149,1047,16.74,33.5,19385,-1
4152,1047,16.75,32.8,19385,-1
4155,1047,16.75,32.6,19385,-1
4158,1047,16.75,32.3,19385,-2
4160,1047,16.75,30.6,19385,-2
4163,1047,16.75,30.1,20257,-2
4166,1047,16.75,30.9,20257,-2
4169,1047,16.75,30,20257,0
4171,1047,16.75,30.8,20257,0
4174,1047,16.75,30.1,20257,0
4177,1047,16.75,28.4,20257,0
4180,1047,16.74,28.2,19342,0
4182,1047,16.75,28.2,19342,0
4185,1047,16.75,28.3,19342,0
4188,1047,16.75,27.4,19342,0
4190,1047,16.75,27.5,19342,0
4196,1047,16.75,25.9,19557,0
4197,1047,16.75,25.1,19557,0
4199,1047,16.75,25.4,19657,0
4201,1047,16.75,25.4,19657,0
4204,1047,16.75,25.3,19657,2
4206,1047,16.75,25,19657,2
4209,1047,16.75,25.3,19657,2
4212,1047,16.75,25,19657,2
4215,1047,16.75,24.8,19657,2
4217,1047,16.75,24.2,19471,3
4220,1047,16.75,24.6,19471,3
4223,1047,16.75,25.2,19471,3
4225,1047,16.77,25.4,19471,3
4228,1047,16.74,24.5,19471,1
4231,1047,16.75,23.9,19471,1
4234,1047,16.75,23.3,19471,1
4236,1047,16.75,23.6,19471,1
4239,1047,16.75,24,19471,-1
4242,1047,16.75,23.5,19471,-1
4244,1047,16.75,24.1,19471,-1
4247,1047,16.75,23.2,19471,-1
4250,1047,16.75,23.1,19471,-1
4253,1047,16.75,23.5,19471,-2
4255,1047,16.75,23.2,19828,-2
4258,1047,16.75,23,19828,-2
4261,1047,16.75,22.7,19828,-2
4264,1047,16.75,22.6,19828,-1
4266,1047,16.75,23.5,19828,-1
4269,1047,16.75,23.8,19828,-1
4272,1047,16.74,23.9,19428,-1
4275,1047,16.75,23.5,19428,-1
4278,1047,16.75,23.1,19428,-1
4280,1047,16.75,22.8,19428,-1
4283,1047,16.75,22.9,19428,-1
4286,1047,16.75,22.4,19428,0
4289,1047,16.75,23.3,19600,0
4291,1047,16.74,23.3,19600,0
4294,1047,16.75,22.4,19600,0
4297,1047,16.75,22.8,19600,0
4300,1047,16.74,23.1,19600,0
4302,1047,16.75,23.4,19600,0
4305,1047,16.75,23.9,19214,0
4308,1047,16.75,22.8,19214,0
4310,1047,16.75,23.2,19214,0
4313,1047,16.75,23.1,19214,0
4316,1047,16.74,22.9,19214,0
4318,1047,16.75,23.8,19214,0
4321,1047,16.74,23.8,19214,-1
4324,1047,16.75,23.3,19471,-1
4326,1047,16.75,22.8,19471,-1
4329,1047,16.75,23.1,19471,-1
4332,1047,16.75,24.7,19471,-1
4335,1047,16.75,24.5,19471,0
4338,1047,16.75,24.4,19471,0
4340,1047,16.74,23.7,19514,0
4343,1047,16.75,23.4,19514,0
4346,1047,16.75,23.4,19514,1
4348,1047,16.74,23.8,19514,1
4351,1047,16.74,23,19514,1
4354,1047,16.74,23.7,19514,1
4356,1047,16.75,23.2,19514,1
4359,1047,16.75,23.4,19428,1
4362,1047,16.75,23.5,19428,1
4364,1047,16.75,23,19428,1
4367,1047,16.75,23.6,19428,1
4370,1047,16.75,22.9,19428,0
4372,1047,16.75,22.4,19428,0
4375,1047,16.75,22.7,19428,0
4378,1047,16.75,22.8,19828,0
4381,1047,16.75,23.1,19828,1
4383,1047,16.75,23.4,19828,1
4386,1047,16.75,23.2,19828,1
4389,1047,16.75,23.1,19828,1
4391,1047,16.75,23,19828,0
4394,1047,16.75,23.7,19514,0
4397,1047,16.75,23,19514,0
4399,1047,16.75,24.2,19514,0
4402,1047,16.74,24.1,19514,0
4405,1047,16.75,24,19514,-1
4408,1047,16.74,23.3,19514,-1
4410,1047,16.75,23.7,19514,-1
4414,1047,16.75,23.6,19657,-1
4416,1047,16.75,23.7,19657,0
4419,1047,16.75,23.4,19657,0
4421,1047,16.74,23.7,19657,0
4424,1047,16.75,24.1,19657,0
4427,1047,16.75,23.5,19657,0
4429,1047,16.75,22.6,19657,0
4432,1047,16.75,22.4,19785,0
4435,1047,16.75,23.4,19785,0
4438,1047,16.75,23.7,19785,0
4440,1047,16.75,23.3,19785,0
4443,1047,16.74,23.5,19785,0
4445,1047,16.75,23.4,19785,0
4448,1047,16.75,23.3,19600,0
4451,1047,16.75,23.2,19600,0
4454,1047,16.75,23.6,19600,0
4456,1047,16.75,24,19600,0
4459,1047,16.75,23.6,19600,0
4462,1047,16.75,22.9,19600,0
4464,1047,16.75,23.4,19600,0
4467,1047,16.75,22.6,19785,0
4470,1047,16.75,23.8,19785,0
4473,1047,16.75,23.5,19785,2
4475,1047,16.75,22.9,19785,2
4478,1047,16.75,22.3,19785,2
4480,1047,16.75,22.5,19785,2
4483,1047,16.75,23.2,20014,2
4486,1047,16.75,23,20014,1
4489,1047,16.75,23.1,20014,1
4491,1047,16.75,22.8,20014,1
4494,1047,16.75,22.5,20014,1
4497,1047,16.75,21.7,20014,0
4499,1047,16.75,22.1,20014,0
4502,1047,16.75,22.3,19557,0
4505,1047,16.75,22.3,19557,0
4508,1047,16.75,22,19557,0
4510,1047,16.75,22.3,19557,0
4513,1047,16.75,21.4,19557,0
4515,1047,16.75,22.2,19557,0
4518,1047,16.75,22.4,19557,0
4521,1047,16.75,22.5,18828,-3
4524,1047,16.75,22.3,18828,-3
4526,1047,16.75,21.7,18828,-3
4529,1047,16.75,22.5,18828,-3
4532,1047,16.75,22.9,18828,-2
4535,1047,16.75,22.8,18828,-2
4538,1047,16.75,23,18828,-2
4540,1047,16.75,22.5,19600,-2
4543,1047,16.75,22.3,19600,-1
4546,1047,16.75,22.2,19600,-1
4549,1047,16.75,22.7,19600,-1
4551,1047,16.75,22.7,19600,-1
4554,1047,16.75,22.9,19600,1
4557,1047,16.75,22.3,19885,1
4560,1047,16.75,22.8,19885,1
4562,1047,16.75,22.6,19885,1
4565,1047,16.75,23.2,19885,1
4568,1047,16.75,23.5,19885,2
4570,1047,16.75,23.7,19885,2
4576,1047,16.74,23.3,19557,2
4577,1047,16.74,23.2,19557,2
4579,1047,16.75,22.8,19557,0
4581,1047,16.75,23.3,19557,0
4584,1047,16.75,22.7,19471,0
4586,1047,16.75,22.9,19471,0
4589,1047,16.75,23.3,19471,0
4592,1047,16.75,23,19471,0
4595,1047,16.75,22.9,19471,0
4597,1047,16.75,22.4,19471,0
4600,1047,16.75,23.1,19471,0
4603,1047,16.75,22.9,19785,0
4605,1047,16.75,23.4,19785,0
4608,1047,16.75,23.5,19785,0
4611,1047,16.75,23.1,19785,0
4614,1047,16.75,22,19785,0
4616,1047,16.75,22.2,19785,0
4619,1047,16.75,23,19700,0
4621,1047,16.75,23.4,19700,0
4624,1047,16.75,23.3,19700,0
4627,1047,16.75,23.2,19700,0
4630,1047,16.72,22.5,19700,0
4632,1047,16.74,22.5,19700,0
4635,1047,16.74,23,19700,0
4638,1047,16.75,23.7,19828,0
4640,1047,16.75,23.2,19828,0
4643,1047,16.75,22.8,19828,0
4646,1047,16.75,23.3,19828,0
4648,1047,16.75,22.3,19828,0
4651,1047,16.75,22.4,19828,0
4654,1047,16.75,23.2,19828,0
4656,1047,16.75,23.2,19785,0
4659,1047,16.75,22.8,19785,0
4662,1047,16.75,22.3,19785,-1
4665,1047,16.75,23,19785,-1
4667,1047,16.75,23.4,19785,-1
4670,1047,16.75,23.5,19785,-1
4676,1047,16.75,23.6,20114,0
4677,1047,16.75,23,19742,0
4679,1047,16.74,22.8,19742,0
4681,1047,16.75,22.8,19742,0
4684,1047,16.75,22.7,19742,0
4686,1047,16.75,22.8,19742,0
4689,1047,16.75,22.5,19742,0
4692,1047,16.75,22.5,19742,0
4695,1047,16.75,22.3,19742,0
4697,1047,16.75,22.4,19742,0
4700,1047,16.74,23.2,19742,0
4703,1047,16.75,22.8,19742,0
4705,1047,16.75,22.6,19742,0
4708,1047,16.74,22.7,19742,-1
4711,1047,16.75,23.2,19742,-1
4714,1047,16.75,22.5,19742,-1
4716,1047,16.75,23.2,19557,-1
4719,1047,16.76,22.8,19557,1
4722,1047,16.75,23,19557,1
4724,1047,16.75,22.2,19557,1
4727,1047,16.75,23,19557,1
4730,1047,16.75,23.4,19557,3
4732,1047,16.75,23.2,19600,3
4735,1047,16.75,22.4,19600,3
4738,1047,16.75,22.3,19600,3
4741,1047,16.74,22.5,19600,3
4743,1047,16.75,23.1,19600,3
4746,1047,16.75,22.9,19600,3
4749,1047,16.75,22.8,19600,3
4751,1047,16.75,22.7,19971,3
4754,1047,16.74,22.5,19971,0
4757,1047,16.75,22.8,19971,0
4759,1047,16.75,23.4,19971,0
4762,1047,16.73,23.3,19971,0
4765,1047,16.75,22.8,19971,0
4767,1047,16.75,22.7,19971,0
4770,1047,16.75,22.9,19971,0
4773,1047,16.75,22.6,19971,0
4776,1047,16.75,23.2,19971,0
4778,1047,16.74,23.4,19971,0
4781,1047,16.75,23.4,19971,0
4784,1047,16.75,22.7,19971,0
4786,1047,16.75,22.3,19785,0
4789,1047,16.74,22.5,19785,0
4792,1047,16.75,23.4,19785,0
4794,1047,16.74,22.9,19785,0
4797,1047,16.75,22.7,19785,0
4800,1047,16.75,23.1,19785,1
4802,1047,16.75,22.9,19214,1
4805,1047,16.75,23,19214,1
4808,1047,16.75,23.4,19214,1
4811,1047,16.75,22.6,19214,1
4814,1047,16.75,23.3,19214,0
4816,1047,16.75,23.5,19214,0
4819,1047,16.75,22.8,19214,0
4821,1047,16.75,23.7,19700,0
4824,1047,16.75,23.6,19700,0
4827,1047,16.71,24,19700,0
4829,1047,16.74,23.3,19700,0
4832,1047,16.75,23.3,19700,0
4835,1047,16.75,23.4,19700,0
4837,1047,16.75,23.3,19700,0
4840,1047,16.75,23.5,19785,0
4843,1047,16.75,23.7,19785,0
4845,1047,16.75,23.6,19785,0
4848,1047,16.75,23.2,19785,0
4851,1047,16.75,23.4,19785,0
4854,1047,16.75,23.5,19785,0
4856,1047,16.75,22.8,19657,0
4859,1047,16.75,23.6,19657,2
4862,1047,16.75,22.9,19657,2
4864,1047,16.75,22.9,19657,2
4867,1047,16.75,23.2,19657,2
4870,1047,16.75,24.1,19657,2
4872,1047,16.75,23.8,19657,2
4875,1047,16.75,24,19785,2
4878,1047,16.75,24,19785,2
4880,1047,16.74,24,19785,2
4883,1047,16.75,24,19785,2
4886,1047,16.75,23.9,19785,2
4889,1047,16.74,24.1,19785,2
4891,1047,16.75,23.9,19785,2
4894,1047,16.75,24,19171,2
4897,1047,16.75,24.3,19171,2
4899,1047,16.75,25.1,19171,2
4902,1047,16.75,24.3,19171,2
4905,1047,16.75,24.6,19171,0
4907,1047,16.75,24.2,19171,0
4910,1047,16.75,24,19171,0
4913,1047,16.75,24.1,20014,0
4915,1047,16.75,24.1,20014,0
4918,1047,16.75,23.7,20014,0
4921,1047,16.75,23.4,20014,0
4924,1047,16.75,23.7,20014,0
4926,1047,16.75,23.3,20014,0
4929,1047,16.75,23,19600,0
4932,1047,16.75,24.3,19600,0
4934,1047,16.75,24,19600,0
4937,1047,16.75,23.2,19600,0
4940,1047,16.75,22.7,19600,0
4942,1047,16.75,23.1,19600,0
4945,1047,16.74,23.5,19428,0
4948,1047,16.75,22.9,19428,0
4950,1047,16.75,22.5,19428,0
4954,1047,16.75,21.8,19428,0
4956,1047,16.75,22.8,19428,0
4959,1047,16.75,23.7,19428,0
4961,1047,16.75,23.4,19600,0
4964,1047,16.75,23,19600,0
4967,1047,16.75,22.5,19600,0
4969,1047,16.75,21.8,19600,0
4972,1047,16.75,22.2,19600,0
4975,1047,16.75,23.1,19600,1
4977,1047,16.75,22.9,19600,1
4980,1047,16.75,22.8,19042,1
4983,1047,16.74,23.1,19042,1
4985,1047,16.75,23.7,19042,1
4988,1047,16.75,23.7,19042,2
4991,1047,16.75,22.9,19042,2
4994,1047,16.75,23.9,19042,2
4996,1047,16.75,22.9,19042,2
4999,1047,16.75,22.8,19385,1
5002,1047,16.75,23.4,19385,1
5004,1047,16.74,23.8,19385,1
5007,1047,16.75,24.3,19385,1
5010,1047,16.75,23.7,19385,0
5012,1047,16.75,23.4,19385,0
5015,1047,16.74,23.2,19385,0
5018,1047,16.75,23.1,20300,0
5020,1047,16.75,23,20300,0
5023,1047,16.75,22.7,20300,1
5026,1047,16.75,22.7,20300,1
5028,1047,16.75,22.8,20300,1
